Train;Stations;Arrived
100;>18_1;5:00
100;14_1;5:07
100;14_2;5:40
100;14_1;6:01
100;14_2;6:34
100;14_1;6:56
100;14_2;7:28
100;14_1;7:47
100;14_2;8:16
100;14_1;8:36
100;14_2;9:05
100;14_1;9:26
100;14_2;9:56
100;14_1;10:17
100;14_2;10:47
100;14_1;11:05
100;14_2;11:35
100;14_1;11:53
100;14_2;12:23
100;14_1;12:41
100;14_2;13:11
100;14_1;13:29
100;14_2;13:59
100;14_1;14:17
100;14_2;14:47
100;14_1;15:05
100;14_2;15:35
100;14_1;15:53
100;14_2;16:23
100;14_1;16:45
100;14_2;17:15
100;14_1;17:35
100;14_2;18:05
100;14_1;18:25
100;14_2;18:55
100;14_1;19:15
100;14_2;19:45
100;14_1;20:05
100;14_2;20:35
100;Depo;21:10
101;>05_2;5:00
101;14_2;5:13
101;14_1;5:34
101;14_2;6:07
101;14_1;6:29
101;14_2;7:01
101;14_1;7:22
101;14_2;7:53
101;14_1;8:14
101;14_2;8:43
101;14_1;9:03
101;14_2;9:32
101;Depo;10:10
101;Depo;16:13
101;14_1;16:14
101;14_2;16:43
101;14_1;17:05
101;14_2;17:35
101;14_1;17:55
101;14_2;18:25
101;14_1;18:45
101;14_2;19:15
101;14_1;19:35
101;14_2;20:05
101;14_1;20:25
101;14_2;20:55
101;14_1;21:16
101;14_2;21:44
101;14_1;22:04
101;14_2;22:36
101;14_1;23:00
101;14_2;23:35
101;Depo;23:59
102;Depo;4:40
102;15_2;4:58
102;14_1;5:16
102;14_2;5:49
102;14_1;6:10
102;14_2;6:43
102;14_1;7:03
102;14_2;7:34
102;14_1;7:56
102;14_2;8:25
102;14_1;8:45
102;14_2;9:14
102;14_1;9:35
102;14_2;10:04
102;Depo;10:40
102;Depo;16:21
102;14_1;16:40
102;14_2;17:10
102;14_1;17:30
102;14_2;18:00
102;14_1;18:20
102;14_2;18:50
102;14_1;19:10
102;14_2;19:40
102;14_1;20:00
102;14_2;20:30
102;14_1;20:52
102;14_2;21:20
102;14_1;21:40
102;14_2;22:08
102;14_1;22:30
102;14_2;23:04
102;>15_1;23:25
102;Depo;23:45
